Index,Title,URL,Album ID,Track Count
111,What's Moore: Robert Steven Mortified,https://rsteviemoore.bandcamp.com/album/whats-moore-robert-steven-mortified,2955645982,15
112,the embodiment of progressive ideals,https://rsteviemoore.bandcamp.com/album/the-embodiment-of-progressive-ideals,1662477968,30
113,embodiment progressive ideal instrumental,https://rsteviemoore.bandcamp.com/album/embodiment-progressive-ideal-instrumental,1041501797,26
114,Ariel Pink's Picks Vol. 1,https://rsteviemoore.bandcamp.com/album/ariel-pinks-picks-vol-1,3552587506,17
115,Special Needs,https://rsteviemoore.bandcamp.com/album/special-needs,3042695993,19
116,The Here .... with neonBlack (orig short version),https://rsteviemoore.bandcamp.com/album/the-here-with-neonblack-orig-short-version,2275448305,13
117,The Here........................with neon black,https://rsteviemoore.bandcamp.com/album/the-here-with-neon-black-2,3709607915,1
118,Oatmeal Goatmilk,https://rsteviemoore.bandcamp.com/album/oatmeal-goatmilk,358548193,62
119,Emotion Picture,https://rsteviemoore.bandcamp.com/album/emotion-picture,1894374183,37
120,Sensual Harassment ~ Various Artists Outperform the Hits of R Stevie Moore,https://rsteviemoore.bandcamp.com/album/sensual-harassment-various-artists-outperform-the-hits-of-r-stevie-moore,3276126614,17
121,MUSICITY,https://rsteviemoore.bandcamp.com/album/musicity,1107744649,28
122,The Great American Songbook - Jad Fair&R Stevie Moore,https://rsteviemoore.bandcamp.com/album/the-great-american-songbook-jad-fair-r-stevie-moore,181213136,29
123,"Migraines, Chestpains and Bloodstains",https://rsteviemoore.bandcamp.com/album/migraines-chestpains-and-bloodstains,1447510698,42
124,When dja Get Back?,https://rsteviemoore.bandcamp.com/album/when-dja-get-back,58045381,33
125,Post-Goods ~ Plus Dozens More @2004,https://rsteviemoore.bandcamp.com/album/post-goods-plus-dozens-more-2004,402657625,12
126,J. Roger Ferguson MOTIF 04,https://rsteviemoore.bandcamp.com/album/j-roger-ferguson-motif-04,861864173,48
127,Roger Ferguson ~ Alive and Well,https://rsteviemoore.bandcamp.com/album/roger-ferguson-alive-and-well,2149928779,35
128,"Unamericana Survival Strategys, +Blanksymoore",https://rsteviemoore.bandcamp.com/album/unamericana-survival-strategys-blanksymoore,1820578027,54
129,Nobody Pays Me Much Mind Until I'm Gone (3CD set),https://rsteviemoore.bandcamp.com/album/nobody-pays-me-much-mind-until-im-gone-3cd-set,1396119100,68
130,WORLD WAR FOUR ------ bestof 011-015,https://rsteviemoore.bandcamp.com/album/world-war-four-bestof-011-015,3907828803,40
131,Billy Anderson . 60 Greatest Hits,https://rsteviemoore.bandcamp.com/album/billy-anderson-60-greatest-hits,3270993369,60
132,Vesent Sornis = Medlie of RSTVMO Compositions,https://rsteviemoore.bandcamp.com/album/vesent-sornis-medlie-of-rstvmo-compositions,1519357625,5
133,Victor Lovera ~ On The Bench,https://rsteviemoore.bandcamp.com/album/victor-lovera-on-the-bench,1621994536,30
134,#HASH ANTAGONIST,https://rsteviemoore.bandcamp.com/album/hash-antagonist,2476221757,22
135,Amnesia Insomnia Shania,https://rsteviemoore.bandcamp.com/album/amnesia-insomnia-shania,2276002378,3
136,Falkner Moore - Guitar Interplés e.p.,https://rsteviemoore.bandcamp.com/album/falkner-moore-guitar-interpl-s-e-p,431985770,6
137,Barista Parlor Golden Sound - w/Blanksy,https://rsteviemoore.bandcamp.com/album/barista-parlor-golden-sound-w-blanksy,1444205900,37
138,Live @ drkmtr 2016,https://rsteviemoore.bandcamp.com/album/live-drkmtr-2016,2130099294,1
139,Lisa Mychols Tags R. Stevie Moore,https://rsteviemoore.bandcamp.com/album/lisa-mychols-tags-r-stevie-moore,123608057,4
140,Copy Me: RSM Tribute 11,https://rsteviemoore.bandcamp.com/album/copy-me-rsm-tribute-11,2960677964,35
141,Copy Me: RSM Tribute 10,https://rsteviemoore.bandcamp.com/album/copy-me-rsm-tribute-10,3533593630,32
142,Product Item Diary,https://rsteviemoore.bandcamp.com/album/product-item-diary,2938024514,50
143,What Can I Say?,https://rsteviemoore.bandcamp.com/album/what-can-i-say,3498147267,7
144,Copy Me: RSM Tribute 9,https://rsteviemoore.bandcamp.com/album/copy-me-rsm-tribute-9,2671838022,37
145,NO WORLD WE'RE FOR,https://rsteviemoore.bandcamp.com/album/no-world-were-for,2979776547,30
146,"(we could be) ""Gyros"" (just for 1 day)",https://rsteviemoore.bandcamp.com/album/we-could-be-gyros-just-for-1-day,2307992454,34
147,Prohibituary ~ There's A Reason For This,https://rsteviemoore.bandcamp.com/album/prohibituary-theres-a-reason-for-this,1082280028,11
148,Drip And Dribble (draft),https://rsteviemoore.bandcamp.com/album/drip-and-dribble-draft,538438683,84
149,ENGLITCH,https://rsteviemoore.bandcamp.com/album/englitch,2091044878,7
150,New Age Sewage Anticeptic Tank,https://rsteviemoore.bandcamp.com/album/new-age-sewage-anticeptic-tank,2732465544,84
151,Knickerbocker Thuggery Combover,https://rsteviemoore.bandcamp.com/album/knickerbocker-thuggery-combover,516142391,37
152,Fifteen Tons,https://rsteviemoore.bandcamp.com/album/fifteen-tons,481735931,27
153,SKIPS 2,https://rsteviemoore.bandcamp.com/album/skips-2,186512466,28
154,R. Stevie Saturday Singles Series,https://rsteviemoore.bandcamp.com/album/r-stevie-saturday-singles-series,1273803631,17
155,Lymph Nodes,https://rsteviemoore.bandcamp.com/album/lymph-nodes,2583284794,84
156,Epiglottis Captcha Fracking,https://rsteviemoore.bandcamp.com/album/epiglottis-captcha-fracking,3725293950,58
157,Spoiler Alert (RSD),https://rsteviemoore.bandcamp.com/album/spoiler-alert-rsd,558729451,42
158,May I Be Excused?,https://rsteviemoore.bandcamp.com/album/may-i-be-excused,1992032060,31
159,Live Santa Cruz CA 2014,https://rsteviemoore.bandcamp.com/album/live-santa-cruz-ca-2014,1209864631,11
160,Start No Fires ~,https://rsteviemoore.bandcamp.com/album/start-no-fires,1222295701,57
161,ONCE AND FOR ALL,https://rsteviemoore.bandcamp.com/album/once-and-for-all-2,1173515385,19
162,Seattle Party,https://rsteviemoore.bandcamp.com/album/seattle-party,1692863883,11
163,Live Crocodile Seattle 2013,https://rsteviemoore.bandcamp.com/album/live-crocodile-seattle-2013,2974329655,3
164,ENNUI,https://rsteviemoore.bandcamp.com/album/ennui,3695008260,88
165,Prohibituary ~ In One Fell Swoop,https://rsteviemoore.bandcamp.com/album/prohibituary-in-one-fell-swoop,33189653,8
166,Dilettante Field Trip Bully,https://rsteviemoore.bandcamp.com/album/dilettante-field-trip-bully,1415872238,140
167,Oral Roberts,https://rsteviemoore.bandcamp.com/album/oral-roberts,1710134487,98
168,Ku Klux Glam ~ Ariel Pink R. Stevie Moore,https://rsteviemoore.bandcamp.com/album/ku-klux-glam-ariel-pink-r-stevie-moore,405033560,63
169,"Eloquence, Arrogance & Innocence (sundry rarities)",https://rsteviemoore.bandcamp.com/album/eloquence-arrogance-innocence-sundry-rarities,976290490,47
170,GENITAL JUICE \ (streaming only),https://rsteviemoore.bandcamp.com/album/genital-juice-streaming-only,2688288280,13
171,MOORE & MONTEIRO,https://rsteviemoore.bandcamp.com/album/moore-monteiro,1244564869,12
172,"New World Elder (If I could only get you out of the room, I might get something done)",https://rsteviemoore.bandcamp.com/album/new-world-elder-if-i-could-only-get-you-out-of-the-room-i-might-get-something-done,3298805911,37
173,Burst Upon The Scene,https://rsteviemoore.bandcamp.com/album/burst-upon-the-scene,793283552,40
174,Tactic - with LC,https://rsteviemoore.bandcamp.com/album/tactic-with-lc,4132295572,14
175,Hearing Aid,https://rsteviemoore.bandcamp.com/album/hearing-aid,716458526,32
176,Flash Pasteurized,https://rsteviemoore.bandcamp.com/album/flash-pasteurized,1423239645,18
177,Phonography Tour Film (Demiglio 2012),https://rsteviemoore.bandcamp.com/album/phonography-tour-film-demiglio-2012,2988826559,8
178,Lo Fi Hi Fives (a kind of best of),https://rsteviemoore.bandcamp.com/album/lo-fi-hi-fives-a-kind-of-best-of,1514360102,14
179,Control Panel,https://rsteviemoore.bandcamp.com/album/control-panel,833020557,27
180,"""Coming Up"" (single)",https://rsteviemoore.bandcamp.com/album/coming-up-single,3431924177,3
181,LUNATIKFRINJ,https://rsteviemoore.bandcamp.com/album/lunatikfrinj,326070073,58
182,R. Stevie Moore (1952-21??),https://rsteviemoore.bandcamp.com/album/r-stevie-moore-1952-21,3216841783,29
183,Free Pussy Riot,https://rsteviemoore.bandcamp.com/album/free-pussy-riot,836629420,32
184,Opposites,https://rsteviemoore.bandcamp.com/album/opposites,4264195854,76
185,Personal Appeal,https://rsteviemoore.bandcamp.com/album/personal-appeal,612030199,23
186,PLEASE LEAVE!,https://rsteviemoore.bandcamp.com/album/please-leave,1326269329,31
187,Cambridge 2012,https://rsteviemoore.bandcamp.com/album/cambridge-2012,940730883,5
188,We Wish We Could Sing: A Tribute to R. Stevie Moore,https://rsteviemoore.bandcamp.com/album/we-wish-we-could-sing-a-tribute-to-r-stevie-moore,38064903,15
189,ADVANST (bonus discs),https://rsteviemoore.bandcamp.com/album/advanst-bonus-discs,214195266,37
190,Advanced Karaoke,https://rsteviemoore.bandcamp.com/album/advanced-karaoke,2966971824,14
191,ADVANCED,https://rsteviemoore.bandcamp.com/album/advanced,3208749122,14
192,Stalactites & Stalagmites (w/ Tropical Ooze),https://rsteviemoore.bandcamp.com/album/stalactites-stalagmites-w-tropical-ooze,3957748387,8
193,"Live at Cafe du Nord, SF CA 2011",https://rsteviemoore.bandcamp.com/album/live-at-cafe-du-nord-sf-ca-2011,2556148390,4
194,Live @WTC Nashville 2011,https://rsteviemoore.bandcamp.com/album/live-wtc-nashville-2011,3397011341,6
